document,term,tfidf
BASF,palm,0.26072945500572786
BASF,oil,0.24163957308115888
Google,resulting,0.2341928301862712
Jetblue,fuel,0.2023690468079751
Jetblue,ground,0.18043451153863624
JohnsonJohnson,health,0.17916266008000528
Exxon,reduce,0.1641052495493299
Siemens,compared,0.16189986212505486
Siemens,compared levels,0.15327882182540253
Siemens,revenue,0.15327882182540253
