document,term,tfidf
Jetblue,fuel,0.20780811202910887
BASF,palm,0.20719915328242908
BASF,oil,0.19511091050459334
JohnsonJohnson,health,0.19038506349573317
McD,beef,0.18635049845023458
Oracle,reduction,0.16447866330060584
Amazon,climate pledge,0.1538086321405244
Boeing,waste,0.14074044738852845
Chevron,intensity,0.13844726002734545
Amazon,pledge,0.13713750125549148
