carbon
Pledge
zero
renewable
global
packaging
iPhone
Eliminate
Sustainability
Apple
Maintain
Sustainability
from
Purchase
GHG
Sustainability
palm
oil
BASF
Cover
Blackrock
Sustainability
Reduce
emissions
per
Boeing
Sustainability
Reduce
GHG
emissions
Chevron
Sustainability
Reduce
methane
emissions
Cisco
Sustainability
Avoid
million
metric
Sustainability
Highlights
Reduce
National
Laboratory
Climate
Achieved
projects
Facebook
Reach
Ford
Sustainability
Aspirational
Drive
human
Achieve
Scope
products
operational
operations
Google
(Alphabet)
Sustainability
Third
Decade
projects
annualized
CO2e
BBTU
New
Sustainability
Begin
Airport
JETBLUE
through
COVID-19
Reduce
quality
JOHNSON
Sustainability
Achieved
Board
Directors,
Committee,
Executive
MASTERCARD
Sustainability
Provide
million
people
baseline)
McDonald’s
packaging
Eliminate
chicken
equivalent
CO2
Invested
MICROSOFT
Reach
MORGAN
STANLEY
Sustainability
Reach
net-zero
ORACLE
Sustainability
reduction
energy
per
GHG
Achieve
exceed
net-zero
baseline)
SAMSUNG
Sustainability
Source
renewable
energy
baseline)
Achieve
Portfolio
SIEMENS
fleet
TD
BANK
Sustainability
Embed
environment
Forests
UNILEVER
hygiene
(achieved
Double
VISA
Sustainability
Help
million
unbanked
WALT
DISNEY
Emissions
Achieving
greenhouse
baseline)
COVID-19
projects
clients’
Wells
