document,term,tfidf
Exxon,sustainability goals,0.5773502691896258
Exxon,sustainability,0.5773502691896258
Exxon,goals,0.5773502691896258
Honeywell,10,0.32277955955866067
Oracle,reduction,0.26796024133743024
Ford,globally,0.2415398179382538
Chevron,intensity,0.23842651932688227
Boeing,reduce,0.21266743528805584
Boeing,20 reduce,0.2042011128426304
Mastercard,reduce scope,0.19423279469068128
